,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,r,degree
62,output,L,2,20201119111717,1154.0,103.0,0,3,10,12,0.0,0.0
63,output,L,2,20201119111717,1154.0,103.0,0,3,11,12,0,0
64,output,L,2,20201119111717,356.0,1006.0,1,3,0,9,74.16872656315464,3.865461169851747
65,output,L,2,20201119111717,430.0,1011.0,1,3,1,9,71.19691004531025,10.520784313874362
66,output,L,2,20201119111717,500.0,1024.0,1,3,2,9,158.91192529196795,6.141110616876805
67,output,L,2,20201119111717,658.0,1041.0,1,3,3,9,172.23530416264836,2.9953032876027468
68,output,L,2,20201119111717,830.0,1050.0,1,3,4,9,0.0,0.0
69,output,L,2,20201119111717,830.0,1050.0,1,3,5,9,175.1456536714514,6.556946498163389
70,output,L,2,20201119111717,1004.0,1070.0,1,3,6,9,91.35097153287424,5.024075258539548
71,output,L,2,20201119111717,1095.0,1078.0,1,3,7,9,89.00561780022652,0.6437457141753808
72,output,L,2,20201119111717,1184.0,1079.0,1,3,8,9,0,0
73,output,L,2,20201119111717,329.0,599.0,2,3,0,10,73.17103251970687,3.9182488640673765
74,output,L,2,20201119111717,402.0,604.0,2,3,1,10,71.11258679024411,3.2245226065199075
75,output,L,2,20201119111717,473.0,608.0,2,3,2,10,176.0454486773231,1.3019526725788753
76,output,L,2,20201119111717,649.0,612.0,2,3,3,10,91.0494371207203,1.8881880067409305
77,output,L,2,20201119111717,740.0,615.0,2,3,4,10,93.04837451562494,1.8476102659945959
78,output,L,2,20201119111717,833.0,618.0,2,3,5,10,200.06249023742558,1.4320961841646465
79,output,L,2,20201119111717,1033.0,623.0,2,3,6,10,97.02061636580135,1.181188913326638
80,output,L,2,20201119111717,1130.0,625.0,2,3,7,10,97.0051545022222,0.590657214646671
81,output,L,2,20201119111717,1227.0,626.0,2,3,8,10,204.02205763103166,0.8425242607404145
82,output,L,2,20201119111717,1431.0,629.0,2,3,9,10,0,0
83,output,L,3,20201119111819,322.0,323.0,0,2,0,10,80.05623023850174,-2.147585428298503
84,output,L,3,20201119111819,402.0,320.0,0,2,1,10,74.33034373659252,-5.403791360249714
85,output,L,3,20201119111819,476.0,313.0,0,2,2,10,177.18069872308325,-2.587878507405314
86,output,L,3,20201119111819,653.0,305.0,0,2,3,10,94.04786015641186,-1.827968244305005
