,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y,num_of_lamps,r,degree
63,output,L,3,20201119111819,0,2,0,322,323,10.0,80.05623023850174,-2.147585428298503
64,output,L,3,20201119111819,0,2,1,402,320,10.0,74.33034373659252,-5.403791360249714
65,output,L,3,20201119111819,0,2,2,476,313,10.0,177.18069872308325,-2.587878507405314
66,output,L,3,20201119111819,0,2,3,653,305,10.0,94.04786015641186,-1.827968244305005
67,output,L,3,20201119111819,0,2,4,747,302,10.0,95.0,0.0
68,output,L,3,20201119111819,0,2,5,842,302,10.0,203.00246303924493,0.2822429362708571
69,output,L,3,20201119111819,0,2,6,1045,303,10.0,100.0,0.0
70,output,L,3,20201119111819,0,2,7,1145,303,10.0,97.02061636580135,1.181188913326638
71,output,L,3,20201119111819,0,2,8,1242,305,10.0,237.35627229968034,-3.1396601478202646
72,output,L,3,20201119111819,0,2,9,1479,292,10.0,0,0
73,output,L,3,20201119111819,1,2,0,343,760,9.0,69.46221994724903,6.613460482314756
74,output,L,3,20201119111819,1,2,1,412,768,9.0,76.23647421018367,4.513988458001263
75,output,L,3,20201119111819,1,2,2,488,774,9.0,169.42549985170473,4.06152267731057
76,output,L,3,20201119111819,1,2,3,657,786,9.0,87.28115489611719,4.60009566626328
77,output,L,3,20201119111819,1,2,4,744,793,9.0,91.0494371207203,1.8881880067409305
78,output,L,3,20201119111819,1,2,5,835,796,9.0,193.1657319505714,2.3735958022366583
79,output,L,3,20201119111819,1,2,6,1028,804,9.0,183.0027322200409,0.31308857502065557
80,output,L,3,20201119111819,1,2,7,1211,805,9.0,213.3377603707323,3.2245226065199075
81,output,L,3,20201119111819,1,2,8,1424,817,9.0,0,0
82,output,L,4,20201119111921,0,2,0,333,488,9.0,74.0,0.0
83,output,L,4,20201119111921,0,2,1,407,488,9.0,76.00657866263946,-0.7538483330707672
84,output,L,4,20201119111921,0,2,2,483,487,9.0,175.0028571195339,-0.32740089084438817
85,output,L,4,20201119111921,0,2,3,658,486,9.0,189.0026454841307,0.3031494437141273
86,output,L,4,20201119111921,0,2,4,847,487,9.0,200.02249873451737,0.8593722436446809
87,output,L,4,20201119111921,0,2,5,1047,490,9.0,99.02019995940222,1.1573330681295173
88,output,L,4,20201119111921,0,2,6,1146,492,9.0,95.00526301210897,0.6030911943805325
89,output,L,4,20201119111921,0,2,7,1241,493,9.0,213.00234740490538,0.2689922936964811
90,output,L,4,20201119111921,0,2,8,1454,494,9.0,0,0
91,output,L,4,20201119111921,1,2,0,751,486,1.0,0,0
92,output,R,0,20201119111513,0,3,0,195,177,3.0,952.7670229389764,3.4900569144266798
93,output,R,0,20201119111513,0,3,1,1146,235,3.0,40.11234224026316,4.289153328819018
94,output,R,0,20201119111513,0,3,2,1186,238,3.0,0,0
95,output,R,0,20201119111513,1,3,0,147,683,3.0,956.6044114470725,2.03685751820031
96,output,R,0,20201119111513,1,3,1,1103,717,3.0,37.12142238654117,-4.635463426902643
97,output,R,0,20201119111513,1,3,2,1140,714,3.0,0,0
98,output,R,0,20201119111513,2,3,0,240,683,1.0,0,0
99,output,R,1,20201119111615,0,2,0,123,379,4.0,103.04368005850722,1.6683374482933075
100,output,R,1,20201119111615,0,2,1,226,382,4.0,912.2636680258619,3.016088522760841
101,output,R,1,20201119111615,0,2,2,1137,430,4.0,36.013886210738214,-1.5911402711945872
102,output,R,1,20201119111615,0,2,3,1173,429,4.0,0,0
103,output,R,1,20201119111615,1,2,0,171,854,4.0,90.0222194794152,-1.2730300200567113
104,output,R,1,20201119111615,1,2,1,261,852,4.0,831.4385124589792,1.8609410660130246
105,output,R,1,20201119111615,1,2,2,1092,879,4.0,35.35533905932738,-8.13010235415598
106,output,R,1,20201119111615,1,2,3,1127,874,4.0,0,0
107,output,R,2,20201119111717,0,3,0,1173,100,2.0,41.048751503547585,2.792702365713283
108,output,R,2,20201119111717,0,3,1,1214,102,2.0,0,0
109,output,R,2,20201119111717,1,3,0,150,568,4.0,97.02061636580135,1.181188913326638
110,output,R,2,20201119111717,1,3,1,247,570,4.0,879.7368924854749,2.3452741199045297
111,output,R,2,20201119111717,1,3,2,1126,606,4.0,34.058772731852805,-3.3664606634298013
112,output,R,2,20201119111717,1,3,3,1160,604,4.0,0,0
113,output,R,2,20201119111717,2,3,0,186,1013,4.0,90.0222194794152,-1.2730300200567113
114,output,R,2,20201119111717,2,3,1,276,1011,4.0,806.1395660802167,1.0661755483548483
115,output,R,2,20201119111717,2,3,2,1082,1026,4.0,36.345563690772494,-7.907162702958458
116,output,R,2,20201119111717,2,3,3,1118,1021,4.0,0,0
117,output,R,3,20201119111819,0,2,0,116,240,4.0,105.17128885774862,3.2704879231835653
118,output,R,3,20201119111819,0,2,1,221,246,4.0,941.7266057619908,3.4700695550401446
119,output,R,3,20201119111819,0,2,2,1161,303,4.0,41.048751503547585,2.792702365713283
120,output,R,3,20201119111819,0,2,3,1202,305,4.0,0,0
121,output,R,3,20201119111819,1,2,0,176,738,5.0,94.00531899844816,-0.6095065766751959
122,output,R,3,20201119111819,1,2,1,270,737,5.0,83.05419917138447,2.070030653041098
123,output,R,3,20201119111819,1,2,2,353,740,5.0,760.6733858891081,2.4110297466112307
124,output,R,3,20201119111819,1,2,3,1113,772,5.0,34.36568055487916,-8.36588612403259
125,output,R,3,20201119111819,1,2,4,1147,767,5.0,0,0
126,output,R,4,20201119111921,0,1,0,155,445,4.0,97.02061636580135,1.181188913326638
127,output,R,4,20201119111921,0,1,1,252,447,4.0,899.1774018512698,2.9324100312903916
128,output,R,4,20201119111921,0,1,2,1150,493,4.0,36.013886210738214,1.5911402711945872
129,output,R,4,20201119111921,0,1,3,1186,494,4.0,0,0
