,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
0,R06C08-A,L,0,20200826113000,0,168,131,No_ramp,-,No_ramp,-,-
1,R06C08-A,L,0,20200826113000,1,169,133,No_ramp,-,No_ramp,-,-
2,R06C08-A,L,0,20200826113000,2,285,146,No_ramp,-,No_ramp,-,-
3,R06C08-A,L,0,20200826113000,3,432,175,multi_color,-,multi_color,-,-
4,R06C08-A,L,0,20200826113000,4,352,187,multi_color,-,multi_color,-,-
5,R06C08-A,L,0,20200826113000,5,1397,222,multi_color,-,multi_color,-,-
6,R06C08-A,L,0,20200826113000,6,350,233,multi_color,-,multi_color,-,-
7,R06C08-A,L,0,20200826113000,7,1354,249,No_ramp,-,No_ramp,-,-
8,R06C08-A,L,0,20200826113000,8,1394,248,multi_color,-,multi_color,-,-
9,R06C08-A,L,0,20200826113000,9,136,288,multi_color,-,multi_color,-,-
10,R06C08-A,L,0,20200826113000,10,152,314,multi_color,-,multi_color,-,-
11,R06C08-A,L,0,20200826113000,11,139,332,multi_color,-,multi_color,-,-
12,R06C08-A,L,0,20200826113000,12,766,460,No_ramp,-,No_ramp,-,-
13,R06C08-A,L,0,20200826113000,13,1539,644,No_ramp,-,No_ramp,-,-
14,R06C08-A,L,0,20200826113000,14,1472,701,multi_color,-,multi_color,-,-
15,R06C08-A,L,0,20200826113000,15,365,714,multi_color,-,multi_color,-,-
16,R06C08-A,L,0,20200826113000,16,1205,719,multi_color,-,multi_color,-,-
17,R06C08-A,L,0,20200826113000,17,896,721,No_ramp,-,No_ramp,-,-
18,R06C08-A,L,0,20200826113000,18,116,722,multi_color,-,multi_color,-,-
19,R06C08-A,L,0,20200826113000,19,1388,723,multi_color,-,multi_color,-,-
20,R06C08-A,L,0,20200826113000,20,1294,725,multi_color,-,multi_color,-,-
21,R06C08-A,L,0,20200826113000,21,204,727,multi_color,-,multi_color,-,-
22,R06C08-A,L,0,20200826113000,22,446,730,multi_color,-,multi_color,-,-
23,R06C08-A,L,0,20200826113000,23,1396,731,multi_color,-,multi_color,-,-
24,R06C08-A,L,0,20200826113000,24,258,734,multi_color,-,multi_color,-,-
25,R06C08-A,L,0,20200826113000,25,343,735,multi_color,-,multi_color,-,-
26,R06C08-A,L,0,20200826113000,26,378,734,multi_color,-,multi_color,-,-
27,R06C08-A,L,0,20200826113000,27,626,734,multi_color,-,multi_color,-,-
28,R06C08-A,L,0,20200826113000,28,339,736,multi_color,-,multi_color,-,-
29,R06C08-A,L,0,20200826113000,29,881,738,multi_color,-,multi_color,-,-
30,R06C08-A,L,0,20200826113000,30,1129,739,multi_color,-,multi_color,-,-
31,R06C08-A,L,0,20200826113000,31,581,747,multi_color,-,multi_color,-,-
32,R06C08-A,L,0,20200826113000,32,534,771,green,F,green,F,-
33,R06C08-A,L,0,20200826113000,33,877,773,green,F,green,F,-
