,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
0,R06C08-A,L,0,20200826113000,0,880,287,green,F,green,F,N
1,R06C08-A,L,0,20200826113000,1,1069,289,green,F,green,F,N
2,R06C08-A,L,0,20200826113000,2,1260,289,green,F,green,F,N
3,R06C08-A,L,0,20200826113000,3,972,291,green,F,green,F,N
4,R06C08-A,L,0,20200826113000,4,1345,290,green,F,green,F,N
5,R06C08-A,L,0,20200826113000,5,683,294,green,F,green,F,N
6,R06C08-A,L,0,20200826113000,6,592,297,green,F,green,F,N
7,R06C08-A,L,0,20200826113000,7,500,299,green,F,green,F,N
8,R06C08-A,L,0,20200826113000,8,239,310,green,F,green,F,N
9,R06C08-A,L,0,20200826113000,9,328,311,green,F,green,F,N
10,R06C08-A,L,0,20200826113000,10,1359,773,green,F,green,F,N
11,R06C08-A,L,0,20200826113000,11,163,775,multi_color,-,multi_color,-,N
12,R06C08-A,L,0,20200826113000,12,691,774,multi_color,-,multi_color,-,N
13,R06C08-A,L,0,20200826113000,13,247,778,green,F,green,F,N
14,R06C08-A,L,0,20200826113000,14,328,781,green,F,green,F,N
15,R06C08-A,L,0,20200826113000,15,1080,783,green,F,green,F,N
16,R06C08-A,L,0,20200826113000,16,504,787,green,F,green,F,N
17,R06C08-A,L,0,20200826113000,17,598,790,green,F,green,F,N
18,R06C08-A,L,0,20200826113000,18,890,792,green,F,green,F,N
19,R06C08-B,L,0,20200826113204,0,1210,112,multi_color,-,multi_color,-,N
20,R06C08-B,L,0,20200826113204,1,658,116,green,L,green,L,N
21,R06C08-B,L,0,20200826113204,2,393,126,multi_color,-,multi_color,-,N
22,R06C08-B,L,0,20200826113204,3,1266,175,green,F,green,F,N
23,R06C08-B,L,0,20200826113204,4,695,183,green,F,green,F,N
24,R06C08-B,L,0,20200826113204,5,604,189,green,L,green,L,N
25,R06C08-B,L,0,20200826113204,6,514,191,green,F,green,F,N
26,R06C08-B,L,0,20200826113204,7,247,202,green,F,green,F,N
27,R06C08-B,L,0,20200826113204,8,338,202,green,L,green,L,N
28,R06C08-B,L,0,20200826113204,9,167,204,green,L,green,L,N
29,R06C08-B,L,0,20200826113204,10,140,634,multi_color,-,multi_color,-,N
30,R06C08-B,L,0,20200826113204,11,692,659,green,F,green,F,N
31,R06C08-B,L,0,20200826113204,12,1362,658,green,F,green,F,N
32,R06C08-B,L,0,20200826113204,13,1274,661,green,L,green,L,N
33,R06C08-B,L,0,20200826113204,14,1089,667,green,L,green,L,N
34,R06C08-B,L,0,20200826113204,15,254,669,green,L,green,L,N
35,R06C08-B,L,0,20200826113204,16,329,671,green,F,green,F,N
36,R06C08-B,L,0,20200826113204,17,507,671,green,L,green,L,N
37,R06C08-B,L,0,20200826113204,18,993,671,green,F,green,F,N
38,R06C08-B,L,0,20200826113204,19,597,673,green,L,green,L,N
39,R06C08-B,L,0,20200826113204,20,259,1136,green,F,green,F,N
40,R06C08-B,L,0,20200826113204,21,345,1141,green,F,green,F,N
41,R06C08-B,L,0,20200826113204,22,527,1141,green,F,green,F,N
42,R06C08-B,L,0,20200826113204,23,708,1142,green,F,green,F,N
43,R06C08-B,L,0,20200826113204,24,1084,1142,green,F,green,F,N
44,R06C08-B,L,0,20200826113204,25,618,1144,green,F,green,F,N
45,R06C08-B,L,0,20200826113204,26,156,1146,green,F,green,F,N
46,R06C08-B,L,0,20200826113204,27,898,1148,green,F,green,F,N
47,R06C08-B,L,0,20200826113204,28,993,1149,green,F,green,F,N
