,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,nor_x,nor_y,nor_r,nor_degree,nor_color,nor_LF,cur_x,cur_y,cur_r,cur_degree,cur_color,cur_LF,result
34,output,L,1,20201119111615,1,2,5,10,823.0,910.0,188.2153022471871,2.7407905941825703,green,F,823,911,89.56003573022959,6.410840020232449,green,L,Error
35,output,L,1,20201119111615,1,2,6,10,1011.0,919.0,93.00537618869136,0.6160599083992302,green,F,1011,919,188.17013578142522,2.436648246810131,green,F,N
36,output,L,1,20201119111615,1,2,7,10,1104.0,920.0,92.00543462209176,0.6227556872063182,green,F,1103,920,92.00543462209176,0.6227556872063182,green,F,N
37,output,L,1,20201119111615,1,2,8,10,1196.0,921.0,207.4728897952694,3.869184576365422,green,F,1196,922,93.02150289046077,1.231977402639728,green,F,N
38,output,L,1,20201119111615,1,2,9,10,1403.0,935.0,0.0,0.0,green,F,1402,936,206.47518010647187,3.8879095608330716,green,L,Error
39,output,L,2,20201119111717,0,3,0,9,320.0,148.0,74.24284477308234,-4.635463426902643,green,F,320.0,149.0,74.24284477308234,-4.635463426902643,green,L,Error
40,output,L,2,20201119111717,0,3,1,9,394.0,142.0,84.0535543567314,-2.045408488887228,green,F,394.0,143.0,74.24284477308234,-4.635463426902643,green,L,Error
41,output,L,2,20201119111717,0,3,2,9,478.0,139.0,179.62739212046696,-4.790130722363228,green,F,478.0,140.0,84.0535543567314,-2.0454084888872277,green,L,Error
42,output,L,2,20201119111717,0,3,3,9,657.0,124.0,93.08598175880188,-2.462816675916847,green,F,657.0,125.0,179.62739212046696,-4.7901307223632275,green,L,Error
43,output,L,2,20201119111717,0,3,4,9,750.0,120.0,100.4987562112089,-5.710593137499642,green,F,750.0,122.0,93.04837451562494,-1.8476102659945959,green,L,Error
44,output,L,2,20201119111717,0,3,5,9,850.0,110.0,220.0,0.0,other,F,850.0,112.0,10000.0,10000.0,green,L,Error
