,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
0,R06C08-A,L,0,20200826113000,0,732,425,green,F,green,F,N
1,R06C08-A,L,0,20200826113000,1,641,426,green,L,green,L,N
2,R06C08-A,L,0,20200826113000,2,828,426,green,L,green,L,N
3,R06C08-A,L,0,20200826113000,3,1033,427,green,L,green,L,N
4,R06C08-A,L,0,20200826113000,4,388,431,green,F,green,F,N
5,R06C08-A,L,0,20200826113000,5,467,430,green,F,green,F,N
6,R06C08-A,L,0,20200826113000,6,1131,430,green,L,green,L,N
7,R06C08-A,L,0,20200826113000,7,319,433,green,F,green,F,N
8,R06C08-A,L,0,20200826113000,8,342,858,green,F,green,F,N
9,R06C08-A,L,0,20200826113000,9,408,870,green,F,green,F,N
10,R06C08-A,L,0,20200826113000,10,484,875,green,F,green,F,N
11,R06C08-A,L,0,20200826113000,11,648,897,green,F,green,F,N
12,R06C08-A,L,0,20200826113000,12,734,901,green,F,green,F,N
13,R06C08-A,L,0,20200826113000,13,823,910,green,F,green,F,N
14,R06C08-A,L,0,20200826113000,14,1012,919,green,F,green,F,N
15,R06C08-A,L,0,20200826113000,15,1104,920,green,F,green,F,N
16,R06C08-A,L,0,20200826113000,16,1196,921,green,F,green,F,N
17,R06C08-A,L,0,20200826113000,17,1403,935,green,F,green,F,N
18,R06C08-A,R,1,20200826113102,0,527,114,blue,F,blue,F,N
19,R06C08-A,R,1,20200826113102,1,1239,228,green,F,green,F,N
20,R06C08-A,R,1,20200826113102,2,1034,230,green,F,green,F,N
21,R06C08-A,R,1,20200826113102,3,1131,233,green,F,green,F,N
22,R06C08-A,R,1,20200826113102,4,733,235,green,F,green,F,N
23,R06C08-A,R,1,20200826113102,5,828,234,green,F,green,F,N
24,R06C08-A,R,1,20200826113102,6,639,237,green,F,green,F,N
25,R06C08-A,R,1,20200826113102,7,463,251,green,F,green,F,N
26,R06C08-A,R,1,20200826113102,8,381,252,green,F,green,F,N
27,R06C08-A,R,1,20200826113102,9,310,259,green,F,green,F,N
28,R06C08-A,R,1,20200826113102,10,323,702,green,F,green,F,N
29,R06C08-A,R,1,20200826113102,11,396,710,green,F,green,F,N
30,R06C08-A,R,1,20200826113102,12,468,714,green,F,green,F,N
31,R06C08-A,R,1,20200826113102,13,638,725,green,F,green,F,N
32,R06C08-A,R,1,20200826113102,14,729,730,green,F,green,F,N
33,R06C08-A,R,1,20200826113102,15,823,735,green,F,green,F,N
34,R06C08-A,R,1,20200826113102,16,1019,742,green,F,green,F,N
35,R06C08-A,R,1,20200826113102,17,1114,742,green,F,green,F,N
36,R06C08-A,R,1,20200826113102,18,1208,742,green,F,green,F,N
37,R06C08-A,R,1,20200826113102,19,1412,748,green,F,green,F,N
38,R06C08-A,R,1,20200826113102,20,355,1092,green,F,green,F,N
39,R06C08-B,L,0,20200826113204,0,1154,103,green,F,green,F,N
40,R06C08-B,L,0,20200826113204,1,750,122,green,F,green,F,N
41,R06C08-B,L,0,20200826113204,2,657,124,green,F,green,F,N
42,R06C08-B,L,0,20200826113204,3,478,139,green,F,green,F,N
43,R06C08-B,L,0,20200826113204,4,394,142,green,F,green,F,N
44,R06C08-B,L,0,20200826113204,5,320,148,green,F,green,F,N
45,R06C08-B,L,0,20200826113204,6,329,599,green,L,green,L,N
46,R06C08-B,L,0,20200826113204,7,402,604,green,F,green,F,N
47,R06C08-B,L,0,20200826113204,8,474,608,green,F,green,F,N
48,R06C08-B,L,0,20200826113204,9,648,612,green,F,green,F,N
49,R06C08-B,L,0,20200826113204,10,740,615,green,F,green,F,N
50,R06C08-B,L,0,20200826113204,11,833,618,green,F,green,F,N
51,R06C08-B,L,0,20200826113204,12,1033,623,green,F,green,F,N
52,R06C08-B,L,0,20200826113204,13,1130,625,green,F,green,F,N
53,R06C08-B,L,0,20200826113204,14,1227,626,green,F,green,F,N
54,R06C08-B,L,0,20200826113204,15,356,1005,green,L,green,L,N
55,R06C08-B,L,0,20200826113204,16,430,1011,green,L,green,L,N
56,R06C08-B,L,0,20200826113204,17,500,1024,green,F,green,F,N
57,R06C08-B,L,0,20200826113204,18,658,1041,green,L,green,L,N
58,R06C08-B,L,0,20200826113204,19,1004,1070,green,L,green,L,N
59,R06C08-B,L,0,20200826113204,20,1095,1078,green,L,green,L,N
60,R06C08-B,L,0,20200826113204,21,1184,1079,green,L,green,L,N
