,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,nor_x,nor_y,nor_r,nor_degree,nor_color,nor_LF,cur_x,cur_y,cur_r,cur_degree,cur_color,cur_LF,result
0,output,L,0,20201119111513,0,3,0,10,310.0,259.0,71.34423592694787,-5.63068275763526,green,F,305.0,269.0,71.34423592694787,-5.63068275763526,green,F,N
1,output,L,0,20201119111513,0,3,1,10,381.0,252.0,82.00609733428362,-0.6986943829834713,green,F,377.0,262.0,72.3394774656273,-5.552971033036804,green,F,N
2,output,L,0,20201119111513,0,3,2,10,463.0,251.0,176.55594014362703,-4.548042409125415,green,F,459.0,262.0,82.0,0.0,green,F,N
3,output,L,0,20201119111513,0,3,3,10,639.0,237.0,94.02127418834527,-1.2188752351312977,green,F,634.0,251.0,175.34537347760278,-3.5967170776284667,green,F,N
4,output,L,0,20201119111513,0,3,4,10,733.0,235.0,95.00526301210895,-0.6030911943805325,green,F,728.0,250.0,94.00531899844816,-0.6095065766751959,green,F,N
5,output,L,0,20201119111513,0,3,5,10,828.0,234.0,206.06067067735168,-1.3904012640440198,green,F,822.0,249.0,94.00531899844816,-0.6095065766751959,green,F,N
6,output,L,0,20201119111513,0,3,6,10,1034.0,229.0,97.082439194738,2.3613746581756203,green,F,1026.0,247.0,204.00980368599937,-0.561705332566547,green,F,N
7,output,L,0,20201119111513,0,3,7,10,1131.0,233.0,108.07404868885037,-2.1210963966614536,green,F,1121.0,253.0,95.1892851112981,3.6138807520036442,green,F,N
8,output,L,0,20201119111513,0,3,8,10,1239.0,229.0,239.67686580060246,-4.307032186002318,green,F,1227.0,250.0,106.04244433244644,-1.6211459136534114,green,F,N
9,output,L,0,20201119111513,0,3,9,10,1478.0,211.0,0.0,0.0,green,F,1454.0,239.0,227.26636354727023,-2.7742773113007893,green,F,N
10,output,L,0,20201119111513,1,3,0,10,322.0,702.0,73.24616030891995,4.69868051729944,other,F,308.0,713.0,73.24616030891995,4.69868051729944,green,F,Error
11,output,L,0,20201119111513,1,3,1,10,395.0,708.0,243.6657546722559,4.236394799058839,green,F,382.0,720.0,74.33034373659252,5.403791360249714,other,F,Error
12,output,L,0,20201119111513,1,3,2,10,638.0,726.0,90.04998611882179,1.9091524329963765,green,F,629.0,739.0,247.72969139770066,4.398705354995532,green,F,N
13,output,L,0,20201119111513,1,3,3,10,728.0,729.0,95.18928511129809,3.613880752003644,green,F,720.0,744.0,91.13725912051558,3.144957464698022,green,F,N
14,output,L,0,20201119111513,1,3,4,10,823.0,735.0,196.1249601657066,2.045408488887228,green,F,815.0,749.0,95.13148795220224,3.0127875041833403,green,F,N
15,output,L,0,20201119111513,1,3,5,10,1019.0,742.0,95.0,0.0,green,F,1012.0,757.0,197.1623696347759,2.325454420775296,green,F,N
16,output,L,0,20201119111513,1,3,6,10,1114.0,742.0,94.00531899844816,0.6095065766751959,green,F,1106.0,757.0,94.0,0.0,green,F,N
17,output,L,0,20201119111513,1,3,7,10,1208.0,743.0,203.0615670184784,1.4109408203827345,green,F,1200.0,758.0,94.00531899844816,0.6095065766751959,green,F,N
18,output,L,0,20201119111513,1,3,8,10,1411.0,748.0,113.11056537742176,2.533558888394575,green,F,1401.0,764.0,201.08953229842672,1.709814044141531,green,F,N
19,output,L,0,20201119111513,1,3,9,10,1524.0,753.0,0.0,0.0,green,F,1512.0,769.0,111.11255554616679,2.5791475002834177,green,F,N
20,output,L,0,20201119111513,2,3,0,2,355.0,1092.0,299.5496619927988,7.480886179523676,green,F,330.0,1118.0,299.5496619927988,7.480886179523676,green,F,N
21,output,L,0,20201119111513,2,3,1,2,652.0,1131.0,0.0,0.0,green,F,652.0,1131.0,0.0,0.0,green,L,Error
22,output,L,1,20201119111615,0,2,0,10,319.0,433.0,69.02897942168927,-1.6602823689828057,green,F,291.0,431.0,69.02897942168927,-1.6602823689828057,green,F,N
23,output,L,1,20201119111615,0,2,1,10,388.0,431.0,79.00632886041474,-0.7252242990592521,green,L,363.0,430.0,72.00694410957877,-0.795723552739274,green,L,N
