,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
0,output,L,0,20201119111513,0,527,114,blue,F,other,L,Error
1,output,L,0,20201119111513,1,572,159,other,L,other,L,N
2,output,L,0,20201119111513,2,1478,211,green,F,OFF,-,Error
3,output,L,0,20201119111513,3,1239,228,green,F,green,F,N
4,output,L,0,20201119111513,4,1034,230,green,F,green,F,N
5,output,L,0,20201119111513,5,1131,233,green,F,green,F,N
6,output,L,0,20201119111513,6,733,235,green,F,green,F,N
7,output,L,0,20201119111513,7,828,234,green,F,green,F,N
8,output,L,0,20201119111513,8,639,237,green,F,green,F,N
9,output,L,0,20201119111513,9,463,251,green,F,green,F,N
10,output,L,0,20201119111513,10,381,252,green,F,green,F,N
11,output,L,0,20201119111513,11,310,259,green,F,green,F,N
12,output,L,0,20201119111513,12,323,702,green,F,green,F,N
13,output,L,0,20201119111513,13,396,710,green,F,green,F,N
14,output,L,0,20201119111513,14,468,714,green,F,green,F,N
15,output,L,0,20201119111513,15,638,725,green,F,green,F,N
16,output,L,0,20201119111513,16,729,730,green,F,green,F,N
17,output,L,0,20201119111513,17,823,735,green,F,green,F,N
18,output,L,0,20201119111513,18,1019,742,green,F,green,F,N
19,output,L,0,20201119111513,19,1114,742,green,F,green,F,N
20,output,L,0,20201119111513,20,1208,742,green,F,green,F,N
21,output,L,0,20201119111513,21,1412,748,green,F,green,F,N
22,output,L,0,20201119111513,22,355,1092,green,F,OFF,-,Error
23,output,L,1,20201119111615,0,732,425,green,F,green,L,Error
24,output,L,1,20201119111615,1,641,426,green,L,green,L,N
25,output,L,1,20201119111615,2,828,426,green,L,green,L,N
26,output,L,1,20201119111615,3,1033,427,green,L,green,L,N
27,output,L,1,20201119111615,4,388,431,green,F,green,L,Error
28,output,L,1,20201119111615,5,467,430,green,F,green,F,N
29,output,L,1,20201119111615,6,1131,430,green,L,green,L,N
30,output,L,1,20201119111615,7,319,433,green,F,green,L,Error
31,output,L,1,20201119111615,8,1226,432,green,F,green,F,N
32,output,L,1,20201119111615,9,342,858,green,F,green,L,Error
33,output,L,1,20201119111615,10,408,870,green,F,green,L,Error
34,output,L,1,20201119111615,11,484,875,green,F,green,L,Error
35,output,L,1,20201119111615,12,648,897,green,F,green,L,Error
