,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
101,output,R,0,20201119111513,7,1103,717,green,L,green,L,N
102,output,R,1,20201119111615,0,123,379,green,L,green,F,Error
103,output,R,1,20201119111615,1,226,382,green,L,green,F,Error
104,output,R,1,20201119111615,2,1137,430,green,L,green,L,N
105,output,R,1,20201119111615,3,261,852,green,F,green,L,Error
106,output,R,1,20201119111615,4,171,854,green,F,green,L,Error
107,output,R,1,20201119111615,5,1127,874,green,L,green,L,N
108,output,R,1,20201119111615,6,1092,879,green,L,green,L,N
109,output,R,2,20201119111717,0,1173,100,green,L,green,L,N
110,output,R,2,20201119111717,1,150,568,green,F,green,F,N
111,output,R,2,20201119111717,2,247,570,green,F,green,F,N
112,output,R,2,20201119111717,3,1126,606,green,L,green,L,N
113,output,R,2,20201119111717,4,275,1011,green,L,green,F,Error
114,output,R,2,20201119111717,5,186,1013,green,L,green,F,Error
115,output,R,2,20201119111717,6,1118,1021,green,L,green,L,N
116,output,R,2,20201119111717,7,1082,1026,green,L,green,L,N
117,output,R,3,20201119111819,0,115,240,green,F,green,L,Error
118,output,R,3,20201119111819,1,221,246,green,F,green,F,N
119,output,R,3,20201119111819,2,1161,303,green,L,green,L,N
120,output,R,3,20201119111819,3,269,737,green,F,green,F,N
121,output,R,3,20201119111819,4,176,738,green,F,green,F,N
122,output,R,3,20201119111819,5,353,740,green,F,green,F,N
123,output,R,3,20201119111819,6,1147,767,green,L,green,L,N
124,output,R,3,20201119111819,7,1113,772,green,L,green,L,N
125,output,R,4,20201119111921,0,155,445,green,F,green,F,N
126,output,R,4,20201119111921,1,252,447,green,F,green,L,Error
127,output,R,4,20201119111921,2,1150,493,green,L,green,L,N
