,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,color,LF
103,output,R,1,20201119111615,226,382,0,3,1,4,green,L
104,output,R,1,20201119111615,1137,430,0,3,2,4,green,L
105,output,R,1,20201119111615,1173,429,0,3,3,4,green,L
106,output,R,1,20201119111615,171,854,1,3,0,3,green,F
107,output,R,1,20201119111615,1092,879,1,3,1,3,green,L
108,output,R,1,20201119111615,1127,874,1,3,2,3,green,L
109,output,R,1,20201119111615,261,852,2,3,0,1,green,F
110,output,R,2,20201119111717,1173,100,0,4,0,2,green,L
111,output,R,2,20201119111717,1214,102,0,4,1,2,green,L
112,output,R,2,20201119111717,150,568,1,4,0,4,green,F
113,output,R,2,20201119111717,247,570,1,4,1,4,green,F
114,output,R,2,20201119111717,1126,606,1,4,2,4,green,L
115,output,R,2,20201119111717,1160,604,1,4,3,4,green,L
116,output,R,2,20201119111717,186,1013,2,4,0,3,green,L
117,output,R,2,20201119111717,1082,1026,2,4,1,3,green,L
118,output,R,2,20201119111717,1118,1021,2,4,2,3,green,L
119,output,R,2,20201119111717,276,1011,3,4,0,1,green,L
120,output,R,3,20201119111819,116,240,0,3,0,4,green,L
121,output,R,3,20201119111819,221,246,0,3,1,4,green,F
122,output,R,3,20201119111819,1161,303,0,3,2,4,green,L
123,output,R,3,20201119111819,1202,305,0,3,3,4,green,L
124,output,R,3,20201119111819,176,738,1,3,0,4,green,F
125,output,R,3,20201119111819,353,740,1,3,1,4,green,L
126,output,R,3,20201119111819,1113,772,1,3,2,4,green,L
127,output,R,3,20201119111819,1147,767,1,3,3,4,green,L
128,output,R,3,20201119111819,270,737,2,3,0,1,green,F
129,output,R,4,20201119111921,155,445,0,1,0,4,green,F
130,output,R,4,20201119111921,252,447,0,1,1,4,green,F
131,output,R,4,20201119111921,1150,493,0,1,2,4,green,L
132,output,R,4,20201119111921,1186,494,0,1,3,4,green,L
