,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,r,degree,color,LF
57,output,L,2,20201119111717,1,3,9,10,1430,630,203.0221662774782,0.8466740238615051,green,F
58,output,L,2,20201119111717,2,3,0,9,355.0,1007.0,74.16872656315464,3.865461169851747,green,F
59,output,L,2,20201119111717,2,3,1,9,429.0,1012.0,74.16872656315464,3.865461169851747,green,F
60,output,L,2,20201119111717,2,3,2,9,499.0,1025.0,71.19691004531025,10.520784313874362,green,F
61,output,L,2,20201119111717,2,3,3,9,657.0,1042.0,10000.0,10000.0,green,F
62,output,L,2,20201119111717,2,3,4,9,749.0,1051.0,10000.0,10000.0,green,F
63,output,L,2,20201119111717,2,3,5,9,829.0,1031.0,10000.0,10000.0,green,F
64,output,L,2,20201119111717,2,3,6,9,1003.0,1071.0,178.53851125177448,12.946509515636931,green,F
65,output,L,2,20201119111717,2,3,7,9,1095.0,1078.0,92.26592003551474,4.351077951573885,green,F
66,output,L,2,20201119111717,2,3,8,9,1184.0,1080.0,89.02246907382428,1.2873289415250384,green,F
67,output,L,3,20201119111819,0,2,0,10,322,324,80.05623023850174,-2.147585428298503,green,F
68,output,L,3,20201119111819,0,2,1,10,402,321,80.05623023850174,-2.147585428298503,green,L
69,output,L,3,20201119111819,0,2,2,10,476,314,74.33034373659252,-5.403791360249714,green,L
70,output,L,3,20201119111819,0,2,3,10,653,305,177.22866585290316,-2.9108378261677537,green,F
71,output,L,3,20201119111819,0,2,4,10,747,302,94.04786015641186,-1.827968244305005,green,L
72,output,L,3,20201119111819,0,2,5,10,842,303,95.00526301210897,0.6030911943805325,green,F
73,output,L,3,20201119111819,0,2,6,10,1044,304,202.00247523235947,0.2836401557578161,green,L
74,output,L,3,20201119111819,0,2,7,10,1145,304,101.0,0.0,green,L
75,output,L,3,20201119111819,0,2,8,10,1242,305,97.0051545022222,0.590657214646671,green,L
76,output,L,3,20201119111819,0,2,9,10,1477,294,235.25730594393875,-2.6799739401079403,green,L
77,output,L,3,20201119111819,1,2,0,9,343,761,69.46221994724903,6.613460482314756,green,F
78,output,L,3,20201119111819,1,2,1,9,411,769,68.46897107449476,6.7098368077569335,green,F
79,output,L,3,20201119111819,1,2,2,9,488,774,77.1621668954417,3.7152891054287687,green,F
80,output,L,3,20201119111819,1,2,3,9,656,787,168.50222550459088,4.4247844517439665,green,F
81,output,L,3,20201119111819,1,2,4,9,743,794,87.28115489611719,4.60009566626328,green,F
82,output,L,3,20201119111819,1,2,5,9,835,797,92.04890004774636,1.8676788394341723,green,F
