,ruck_num,which_side,shoot_position,time_log,group_num,lamp_num,x,y,color,LF
104,output,R,1,20201119111615,1,2,1092,879,green,L
105,output,R,1,20201119111615,1,3,1127,874,green,L
106,output,R,2,20201119111717,0,0,1173,100,green,L
107,output,R,2,20201119111717,1,0,150,568,green,F
108,output,R,2,20201119111717,1,1,247,570,green,F
109,output,R,2,20201119111717,1,2,1126,606,green,L
110,output,R,2,20201119111717,2,0,186,1013,green,L
111,output,R,2,20201119111717,2,1,276,1011,green,L
112,output,R,2,20201119111717,2,2,1082,1026,green,L
113,output,R,2,20201119111717,2,3,1118,1021,green,L
114,output,R,3,20201119111819,0,0,116,240,green,L
115,output,R,3,20201119111819,0,1,221,246,green,F
116,output,R,3,20201119111819,0,2,1161,303,green,L
117,output,R,3,20201119111819,1,0,176,738,green,F
118,output,R,3,20201119111819,1,1,270,737,green,F
119,output,R,3,20201119111819,1,2,353,740,green,L
120,output,R,3,20201119111819,1,3,1113,772,green,L
121,output,R,3,20201119111819,1,4,1147,767,green,L
122,output,R,4,20201119111921,0,0,155,445,green,F
123,output,R,4,20201119111921,0,1,252,447,green,F
124,output,R,4,20201119111921,0,2,1150,493,green,L
