,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,r,degree,color,LF
60,output,L,2,20201119111717,2,3,4,7,1004,1070,91.35097153287424,5.024075258539548,green,L
61,output,L,2,20201119111717,2,3,5,7,1095,1078,89.00561780022652,0.6437457141753808,green,L
62,output,L,2,20201119111717,2,3,6,7,1184,1079,0,0,green,L
63,output,L,3,20201119111819,0,2,0,10,322,323,80.05623023850174,-2.147585428298503,green,L
64,output,L,3,20201119111819,0,2,1,10,402,320,74.33034373659252,-5.403791360249714,green,L
65,output,L,3,20201119111819,0,2,2,10,476,313,177.18069872308325,-2.587878507405314,green,L
66,output,L,3,20201119111819,0,2,3,10,653,305,94.04786015641186,-1.827968244305005,green,L
67,output,L,3,20201119111819,0,2,4,10,747,302,95.0,0.0,green,L
68,output,L,3,20201119111819,0,2,5,10,842,302,203.00246303924493,0.2822429362708571,green,L
69,output,L,3,20201119111819,0,2,6,10,1045,303,100.0,0.0,green,L
70,output,L,3,20201119111819,0,2,7,10,1145,303,97.02061636580135,1.181188913326638,green,L
71,output,L,3,20201119111819,0,2,8,10,1242,305,237.35627229968034,-3.1396601478202646,green,L
72,output,L,3,20201119111819,0,2,9,10,1479,292,0,0,green,L
73,output,L,3,20201119111819,1,2,0,9,343,760,69.46221994724903,6.613460482314756,green,F
74,output,L,3,20201119111819,1,2,1,9,412,768,76.23647421018367,4.513988458001263,green,F
75,output,L,3,20201119111819,1,2,2,9,488,774,169.42549985170473,4.06152267731057,green,F
76,output,L,3,20201119111819,1,2,3,9,657,786,87.28115489611719,4.60009566626328,green,F
77,output,L,3,20201119111819,1,2,4,9,744,793,91.0494371207203,1.8881880067409305,green,F
78,output,L,3,20201119111819,1,2,5,9,835,796,193.1657319505714,2.3735958022366583,green,L
79,output,L,3,20201119111819,1,2,6,9,1028,804,183.0027322200409,0.31308857502065557,green,F
80,output,L,3,20201119111819,1,2,7,9,1211,805,213.3377603707323,3.2245226065199075,green,L
81,output,L,3,20201119111819,1,2,8,9,1424,817,0,0,green,F
82,output,L,4,20201119111921,0,2,0,9,333,488,74.0,0.0,green,L
83,output,L,4,20201119111921,0,2,1,9,407,488,76.00657866263946,-0.7538483330707672,green,F
84,output,L,4,20201119111921,0,2,2,9,483,487,175.0028571195339,-0.32740089084438817,green,F
85,output,L,4,20201119111921,0,2,3,9,658,486,189.0026454841307,0.3031494437141273,green,L
86,output,L,4,20201119111921,0,2,4,9,847,487,200.02249873451737,0.8593722436446809,green,L
87,output,L,4,20201119111921,0,2,5,9,1047,490,99.02019995940222,1.1573330681295173,green,L
88,output,L,4,20201119111921,0,2,6,9,1146,492,95.00526301210897,0.6030911943805325,green,F
89,output,L,4,20201119111921,0,2,7,9,1241,493,213.00234740490538,0.2689922936964811,green,L
90,output,L,4,20201119111921,0,2,8,9,1454,494,0,0,green,F
91,output,L,4,20201119111921,1,2,0,1,751,486,0,0,green,L
92,output,R,0,20201119111513,0,3,0,3,195,177,952.7670229389764,3.4900569144266798,green,F
93,output,R,0,20201119111513,0,3,1,3,1146,235,40.11234224026316,4.289153328819018,green,L
94,output,R,0,20201119111513,0,3,2,3,1186,238,0,0,green,L
95,output,R,0,20201119111513,1,3,0,3,147,683,956.6044114470725,2.03685751820031,green,F
96,output,R,0,20201119111513,1,3,1,3,1103,717,37.12142238654117,-4.635463426902643,green,L
97,output,R,0,20201119111513,1,3,2,3,1140,714,0,0,green,L
98,output,R,0,20201119111513,2,3,0,1,240,683,0,0,green,F
99,output,R,1,20201119111615,0,2,0,4,123,379,103.04368005850722,1.6683374482933075,green,L
100,output,R,1,20201119111615,0,2,1,4,226,382,912.2636680258619,3.016088522760841,green,L
101,output,R,1,20201119111615,0,2,2,4,1137,430,36.013886210738214,-1.5911402711945872,green,L
102,output,R,1,20201119111615,0,2,3,4,1173,429,0,0,green,L
103,output,R,1,20201119111615,1,2,0,4,171,854,90.0222194794152,-1.2730300200567113,green,F
104,output,R,1,20201119111615,1,2,1,4,261,852,831.4385124589792,1.8609410660130246,green,F
105,output,R,1,20201119111615,1,2,2,4,1092,879,35.35533905932738,-8.13010235415598,green,L
106,output,R,1,20201119111615,1,2,3,4,1127,874,0,0,green,L
107,output,R,2,20201119111717,0,3,0,2,1173,100,41.048751503547585,2.792702365713283,green,L
108,output,R,2,20201119111717,0,3,1,2,1214,102,0,0,green,L
109,output,R,2,20201119111717,1,3,0,4,150,568,97.02061636580135,1.181188913326638,green,F
110,output,R,2,20201119111717,1,3,1,4,247,570,879.7368924854749,2.3452741199045297,green,F
111,output,R,2,20201119111717,1,3,2,4,1126,606,34.058772731852805,-3.3664606634298013,green,L
112,output,R,2,20201119111717,1,3,3,4,1160,604,0,0,green,L
113,output,R,2,20201119111717,2,3,0,4,186,1013,90.0222194794152,-1.2730300200567113,green,L
114,output,R,2,20201119111717,2,3,1,4,276,1011,806.1395660802167,1.0661755483548483,green,L
115,output,R,2,20201119111717,2,3,2,4,1082,1026,36.345563690772494,-7.907162702958458,green,L
116,output,R,2,20201119111717,2,3,3,4,1118,1021,0,0,green,L
117,output,R,3,20201119111819,0,2,0,4,116,240,105.17128885774862,3.2704879231835653,green,L
118,output,R,3,20201119111819,0,2,1,4,221,246,941.7266057619908,3.4700695550401446,green,F
119,output,R,3,20201119111819,0,2,2,4,1161,303,41.048751503547585,2.792702365713283,green,L
120,output,R,3,20201119111819,0,2,3,4,1202,305,0,0,green,L
121,output,R,3,20201119111819,1,2,0,5,176,738,94.00531899844816,-0.6095065766751959,green,F
122,output,R,3,20201119111819,1,2,1,5,270,737,83.05419917138447,2.070030653041098,green,F
123,output,R,3,20201119111819,1,2,2,5,353,740,760.6733858891081,2.4110297466112307,green,L
124,output,R,3,20201119111819,1,2,3,5,1113,772,34.36568055487916,-8.36588612403259,green,L
125,output,R,3,20201119111819,1,2,4,5,1147,767,0,0,green,L
126,output,R,4,20201119111921,0,1,0,4,155,445,97.02061636580135,1.181188913326638,green,F
127,output,R,4,20201119111921,0,1,1,4,252,447,899.1774018512698,2.9324100312903916,green,F
128,output,R,4,20201119111921,0,1,2,4,1150,493,36.013886210738214,1.5911402711945872,green,L
129,output,R,4,20201119111921,0,1,3,4,1186,494,0,0,green,L
