,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,r,degree
71,output,L,3,20201119111819,1145,303,4,8,2,4,97.02061636580135,1.181188913326638
72,output,L,3,20201119111819,1242,305,4,8,3,4,0,0
73,output,L,3,20201119111819,842,302,5,8,0,1,0,0
74,output,L,3,20201119111819,1479,292,6,8,0,1,0,0
75,output,L,3,20201119111819,343,760,7,8,0,9,69.46221994724903,6.613460482314756
76,output,L,3,20201119111819,412,768,7,8,1,9,76.23647421018367,4.513988458001263
77,output,L,3,20201119111819,488,774,7,8,2,9,169.42549985170473,4.06152267731057
78,output,L,3,20201119111819,657,786,7,8,3,9,87.28115489611719,4.60009566626328
79,output,L,3,20201119111819,744,793,7,8,4,9,91.0494371207203,1.8881880067409305
80,output,L,3,20201119111819,835,796,7,8,5,9,193.1657319505714,2.3735958022366583
81,output,L,3,20201119111819,1028,804,7,8,6,9,183.0027322200409,0.31308857502065557
82,output,L,3,20201119111819,1211,805,7,8,7,9,213.3377603707323,3.2245226065199075
83,output,L,3,20201119111819,1424,817,7,8,8,9,0,0
84,output,L,4,20201119111921,333,488,0,5,0,5,714.0028011149536,0.16049195983461917
85,output,L,4,20201119111921,1047,490,0,5,1,5,99.02019995940222,1.1573330681295173
86,output,L,4,20201119111921,1146,492,0,5,2,5,95.00526301210897,0.6030911943805325
87,output,L,4,20201119111921,1241,493,0,5,3,5,213.00234740490538,0.2689922936964811
88,output,L,4,20201119111921,1454,494,0,5,4,5,0,0
89,output,L,4,20201119111921,407,488,1,5,0,1,0,0
90,output,L,4,20201119111921,483,487,2,5,0,1,0,0
91,output,L,4,20201119111921,658,486,3,5,0,2,189.0026454841307,0.3031494437141273
92,output,L,4,20201119111921,847,487,3,5,1,2,0,0
93,output,L,4,20201119111921,751,486,4,5,0,1,0,0
94,output,R,0,20201119111513,195,177,0,4,0,3,952.7670229389764,3.4900569144266798
95,output,R,0,20201119111513,1146,235,0,4,1,3,40.11234224026316,4.289153328819018
96,output,R,0,20201119111513,1186,238,0,4,2,3,0,0
97,output,R,0,20201119111513,1017,147,1,4,0,1,0,0
98,output,R,0,20201119111513,147,683,2,4,0,3,956.6044114470725,2.03685751820031
99,output,R,0,20201119111513,1103,717,2,4,1,3,37.12142238654117,-4.635463426902643
100,output,R,0,20201119111513,1140,714,2,4,2,3,0,0
101,output,R,0,20201119111513,240,683,3,4,0,1,0,0
102,output,R,1,20201119111615,123,379,0,3,0,4,103.04368005850722,1.6683374482933075
103,output,R,1,20201119111615,226,382,0,3,1,4,912.2636680258619,3.016088522760841
104,output,R,1,20201119111615,1137,430,0,3,2,4,36.013886210738214,-1.5911402711945872
105,output,R,1,20201119111615,1173,429,0,3,3,4,0,0
106,output,R,1,20201119111615,171,854,1,3,0,3,921.3392426245612,1.5548782173347
107,output,R,1,20201119111615,1092,879,1,3,1,3,35.35533905932738,-8.13010235415598
108,output,R,1,20201119111615,1127,874,1,3,2,3,0,0
109,output,R,1,20201119111615,261,852,2,3,0,1,0,0
110,output,R,2,20201119111717,1173,100,0,4,0,2,41.048751503547585,2.792702365713283
111,output,R,2,20201119111717,1214,102,0,4,1,2,0,0
112,output,R,2,20201119111717,150,568,1,4,0,4,97.02061636580135,1.181188913326638
113,output,R,2,20201119111717,247,570,1,4,1,4,879.7368924854749,2.3452741199045297
114,output,R,2,20201119111717,1126,606,1,4,2,4,34.058772731852805,-3.3664606634298013
