,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,r,degree,color,LF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,output,L,0,20201119111513,0,3,0,10,310,259,71.34423592694787,-5.63068275763526,green,F
1,output,L,0,20201119111513,0,3,1,10,381,252,82.00609733428362,-0.6986943829834713,green,F
2,output,L,0,20201119111513,0,3,2,10,463,251,176.555940143627,-4.548042409125415,green,F
3,output,L,0,20201119111513,0,3,3,10,639,237,94.02127418834527,-1.2188752351312977,green,F
4,output,L,0,20201119111513,0,3,4,10,733,235,95.00526301210897,-0.6030911943805325,green,F
5,output,L,0,20201119111513,0,3,5,10,828,234,206.0606706773517,-1.3904012640440198,green,F
6,output,L,0,20201119111513,0,3,6,10,1034,229,97.082439194738,2.36137465817562,green,F
7,output,L,0,20201119111513,0,3,7,10,1131,233,108.07404868885037,-2.1210963966614536,green,F
8,output,L,0,20201119111513,0,3,8,10,1239,229,239.67686580060246,-4.307032186002318,green,F
9,output,L,0,20201119111513,0,3,9,10,1478,211,0,0,green,F
10,output,L,0,20201119111513,1,3,0,9,322,702,73.24616030891995,4.69868051729944,other,F
11,output,L,0,20201119111513,1,3,1,9,395,708,243.6657546722559,4.23639479905884,green,F
12,output,L,0,20201119111513,1,3,2,9,638,726,90.0499861188218,1.9091524329963763,green,F
13,output,L,0,20201119111513,1,3,3,9,728,729,95.1892851112981,3.6138807520036442,green,F
14,output,L,0,20201119111513,1,3,4,9,823,735,196.1249601657066,2.0454084888872277,green,F
15,output,L,0,20201119111513,1,3,5,9,1019,742,95.0,0.0,green,F
16,output,L,0,20201119111513,1,3,6,9,1114,742,94.00531899844816,0.6095065766751959,green,F
17,output,L,0,20201119111513,1,3,7,9,1208,743,203.0615670184784,1.4109408203827343,green,F
18,output,L,0,20201119111513,1,3,8,9,1411,748,0,0,green,F
19,output,L,0,20201119111513,2,3,0,1,355,1092,0,0,green,F
