,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,L,0,20201119111513,0.0,3.0,0.0,310,259
1,output,L,0,20201119111513,0.0,3.0,1.0,381,252
2,output,L,0,20201119111513,0.0,3.0,2.0,463,251
3,output,L,0,20201119111513,0.0,3.0,5.0,639,237
4,output,L,0,20201119111513,0.0,3.0,6.0,733,235
5,output,L,0,20201119111513,0.0,3.0,7.0,828,234
6,output,L,0,20201119111513,0.0,3.0,8.0,1034,229
7,output,L,0,20201119111513,0.0,3.0,9.0,1131,233
8,output,L,0,20201119111513,0.0,3.0,10.0,1239,229
9,output,L,0,20201119111513,0.0,3.0,11.0,1478,211
10,output,L,0,20201119111513,1.0,3.0,0.0,322,702
11,output,L,0,20201119111513,1.0,3.0,1.0,395,708
12,output,L,0,20201119111513,1.0,3.0,2.0,638,726
13,output,L,0,20201119111513,1.0,3.0,3.0,728,729
14,output,L,0,20201119111513,1.0,3.0,4.0,823,735
15,output,L,0,20201119111513,1.0,3.0,5.0,1019,742
16,output,L,0,20201119111513,1.0,3.0,6.0,1114,742
17,output,L,0,20201119111513,1.0,3.0,7.0,1208,743
18,output,L,0,20201119111513,1.0,3.0,8.0,1411,748
19,output,L,0,20201119111513,2.0,3.0,0.0,355,1092
