,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,R,3,20201119111819,0.0,2.0,0.0,116,240
1,output,R,3,20201119111819,0.0,2.0,1.0,221,246
2,output,R,3,20201119111819,0.0,2.0,2.0,1161,303
3,output,R,3,20201119111819,0.0,2.0,3.0,1202,305
4,output,R,3,20201119111819,1.0,2.0,0.0,176,738
5,output,R,3,20201119111819,1.0,2.0,1.0,270,737
6,output,R,3,20201119111819,1.0,2.0,2.0,353,740
7,output,R,3,20201119111819,1.0,2.0,3.0,1113,772
8,output,R,3,20201119111819,1.0,2.0,4.0,1147,767
