,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,L,4,20201119111921,0.0,3.0,0.0,333,488
1,output,L,4,20201119111921,0.0,3.0,1.0,407,488
2,output,L,4,20201119111921,0.0,3.0,2.0,483,487
3,output,L,4,20201119111921,0.0,3.0,3.0,1047,490
4,output,L,4,20201119111921,0.0,3.0,4.0,1146,492
5,output,L,4,20201119111921,0.0,3.0,5.0,1241,493
6,output,L,4,20201119111921,0.0,3.0,6.0,1454,494
7,output,L,4,20201119111921,1.0,3.0,0.0,658,486
8,output,L,4,20201119111921,1.0,3.0,1.0,847,487
9,output,L,4,20201119111921,2.0,3.0,0.0,751,486
