,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,L,2,20201119111717,0.0,3.0,0.0,320,148
1,output,L,2,20201119111717,0.0,3.0,1.0,394,142
2,output,L,2,20201119111717,0.0,3.0,2.0,478,139
3,output,L,2,20201119111717,0.0,3.0,3.0,657,124
4,output,L,2,20201119111717,0.0,3.0,4.0,750,120
5,output,L,2,20201119111717,0.0,3.0,5.0,1154,103
6,output,L,2,20201119111717,1.0,3.0,0.0,329,599
7,output,L,2,20201119111717,1.0,3.0,1.0,402,604
8,output,L,2,20201119111717,1.0,3.0,2.0,473,608
9,output,L,2,20201119111717,1.0,3.0,3.0,649,612
10,output,L,2,20201119111717,1.0,3.0,4.0,740,615
11,output,L,2,20201119111717,1.0,3.0,5.0,833,618
12,output,L,2,20201119111717,1.0,3.0,6.0,1033,623
13,output,L,2,20201119111717,1.0,3.0,7.0,1130,625
14,output,L,2,20201119111717,1.0,3.0,8.0,1227,626
15,output,L,2,20201119111717,1.0,3.0,9.0,1431,629
16,output,L,2,20201119111717,2.0,3.0,0.0,356,1006
17,output,L,2,20201119111717,2.0,3.0,1.0,430,1011
18,output,L,2,20201119111717,2.0,3.0,2.0,500,1024
19,output,L,2,20201119111717,2.0,3.0,3.0,658,1041
20,output,L,2,20201119111717,2.0,3.0,4.0,1004,1070
21,output,L,2,20201119111717,2.0,3.0,5.0,1095,1078
22,output,L,2,20201119111717,2.0,3.0,6.0,1184,1079
