,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,R,2,20201119111717,0.0,3.0,0.0,1173,100
1,output,R,2,20201119111717,0.0,3.0,1.0,1214,102
2,output,R,2,20201119111717,1.0,3.0,0.0,150,568
3,output,R,2,20201119111717,1.0,3.0,1.0,247,570
4,output,R,2,20201119111717,1.0,3.0,2.0,1126,606
5,output,R,2,20201119111717,1.0,3.0,3.0,1160,604
6,output,R,2,20201119111717,2.0,3.0,0.0,186,1013
7,output,R,2,20201119111717,2.0,3.0,1.0,276,1011
8,output,R,2,20201119111717,2.0,3.0,2.0,1082,1026
9,output,R,2,20201119111717,2.0,3.0,3.0,1118,1021
